genome	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
GCA_002934425.1	protein_ordered	AUZ73875.1	Clu11-IntP2	579	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu11-IntP2	mandatory	390	2.6e-42	143.300	0.938	0.908	28	381		
GCA_002934425.1	protein_ordered	AUZ73879.1	Clu32-IntSXT	583	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu32-IntSXT	mandatory	413	3.1e-138	459.100	0.983	0.937	6	392		
GCA_002934425.1	protein_ordered	AUZ73880.1	Clu3-DUF2787	584	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	150	8.7e-47	156.700	0.971	0.913	12	148		
GCA_002934425.1	protein_ordered	AUZ73881.1	Clu29-Hyp2	585	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	208	5.8e-35	118.600	0.754	0.601	11	135		
GCA_002934425.1	protein_ordered	AUZ73882.1	Clu763-HypAer	587	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	155	2.1e-14	51.900	0.569	0.626	6	102		
GCA_002903405.1	protein_ordered	AUV11524.1	Clu11-IntP2	867	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu11-IntP2	mandatory	391	1.1e-44	151.000	0.946	0.916	26	383		
GCA_002903405.1	protein_ordered	AUV11527.1	Clu32-IntSXT	870	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu32-IntSXT	mandatory	413	2.9e-138	459.100	0.983	0.937	6	392		
GCA_002903405.1	protein_ordered	AUV11529.1	Clu3-DUF2787	872	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	150	5.4e-48	160.500	0.971	0.913	12	148		
GCA_002903405.1	protein_ordered	AUV11530.1	Clu29-Hyp2	873	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	208	2.1e-34	116.700	0.772	0.615	13	140		
GCA_002903405.1	protein_ordered	AUV11531.1	Clu763-HypAer	875	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	155	2e-14	51.900	0.569	0.626	6	102		
GCA_002903405.1	protein_ordered	AUV13109.1	Clu1-GpiPolB	2583	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu1-GpiPolB	mandatory	947	0.0	1231.100	0.957	0.904	72	927		
GCA_002903405.1	protein_ordered	AUV13114.1	Clu3-DUF2787	2589	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	139	8.7e-52	172.800	0.929	0.942	8	138		
GCA_002903405.1	protein_ordered	AUV13115.1	Clu29-Hyp2	2590	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	211	2.4e-49	165.300	0.743	0.602	76	202		
GCA_002903405.1	protein_ordered	AUV13117.1	Clu435-Hyp1	2592	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu435-Hyp1	mandatory	118	1.2e-45	152.500	0.958	0.966	1	114		
GCA_002903405.1	protein_ordered	AUV13118.1	Clu2-IntSXT	2593	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu2-IntSXT	mandatory	401	4.4e-185	613.400	1.000	0.995	1	399		
GCA_002903405.1	protein_ordered	AUV13137.1	Clu11-IntP2	2614	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu11-IntP2	mandatory	380	4e-165	547.300	0.997	0.984	1	374		
GCA_002903405.1	protein_ordered	AUV13140.1	Clu1-GpiPolB	2617	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu1-GpiPolB	mandatory	962	0.0	1238.000	0.947	0.869	107	942		
GCA_002903405.1	protein_ordered	AUV14831.1	Clu3-DUF2787	2622	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu3-DUF2787	mandatory	139	6.6e-51	170.000	0.929	0.942	8	138		
GCA_002903405.1	protein_ordered	AUV13145.1	Clu29-Hyp2	2623	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu29-Hyp2	mandatory	201	2e-49	165.600	0.772	0.657	66	197		
GCA_002903405.1	protein_ordered	AUV13147.1	Clu435-Hyp1	2625	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu435-Hyp1	mandatory	118	1.1e-45	152.600	0.950	0.958	1	113		
GCA_002903405.1	protein_ordered	AUV13148.1	Clu2-IntSXT	2626	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.750	6.000	1	Clu2-IntSXT	mandatory	401	4.7e-185	613.200	1.000	0.995	1	399		
GCA_013085485.1	protein_ordered	QJT20827.1	Clu32-IntSXT	850	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	388	1.8e-42	143.600	0.843	0.840	52	377		
GCA_013085485.1	protein_ordered	QJT20832.1	Clu32-IntSXT	855	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	413	2.7e-138	459.100	0.983	0.937	6	392		
GCA_013085485.1	protein_ordered	QJT20834.1	Clu3-DUF2787	857	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	125	6.9e-38	127.700	0.829	0.936	6	122		
GCA_013085485.1	protein_ordered	QJT20835.1	Clu29-Hyp2	858	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	208	1.2e-34	117.400	0.790	0.630	10	140		
GCA_013085485.1	protein_ordered	QJT20837.1	Clu763-HypAer	860	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	182	5.7e-16	56.800	0.707	0.665	9	129		
GCA_013085485.1	protein_ordered	QJT22435.1	Clu3-DUF2787	2581	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	139	1.6e-51	171.900	0.929	0.942	8	138		
GCA_013085485.1	protein_ordered	QJT22436.1	Clu29-Hyp2	2582	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	211	1.2e-48	162.900	0.731	0.592	77	201		
GCA_013085485.1	protein_ordered	QJT22438.1	Clu435-Hyp1	2584	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu435-Hyp1	mandatory	118	1.5e-44	148.800	0.950	0.958	1	113		
GCA_013085485.1	protein_ordered	QJT22439.1	Clu2-IntSXT	2585	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	401	1.1e-185	615.200	1.000	0.995	1	399		
GCA_000783775.2	protein_ordered	AUU23599.1	Clu11-IntP2	3343	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu11-IntP2	mandatory	410	7.5e-42	141.400	0.933	0.861	49	401		
GCA_000783775.2	protein_ordered	AUU23607.1	Clu32-IntSXT	3351	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu32-IntSXT	mandatory	413	6.7e-138	457.700	0.983	0.937	6	392		
GCA_000783775.2	protein_ordered	AUU23608.1	Clu3-DUF2787	3352	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	144	1.3e-47	159.100	0.979	0.958	6	143		
GCA_000783775.2	protein_ordered	AUU23609.1	Clu29-Hyp2	3353	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	208	7.7e-35	117.900	0.820	0.654	8	143		
GCA_000783775.2	protein_ordered	AUU23610.1	Clu763-HypAer	3355	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	177	5.4e-16	56.800	0.713	0.689	3	124		
GCA_037101215.1	protein_ordered	BEE05105.1	Clu763-HypAer	2301	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	174	1.6e-113	374.500	1.000	1.000	1	174		
GCA_037101215.1	protein_ordered	BEE05106.1	Clu29-Hyp2	2302	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	165	2.1e-47	158.900	0.988	0.988	1	163		
GCA_037101215.1	protein_ordered	BEE05107.1	Clu3-DUF2787	2303	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	148	2.1e-51	171.500	0.993	0.993	1	147		
GCA_037101215.1	protein_ordered	BEE05109.1	Clu2-IntSXT	2305	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	222	2.3e-62	209.300	0.509	0.892	2	199		
GCA_014168615.1	protein_ordered	BBQ25464.1	Clu2-IntSXT	1680	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu2-IntSXT	mandatory	401	7e-185	612.700	1.000	0.995	1	399		
GCA_014168615.1	protein_ordered	BBQ25465.1	Clu435-Hyp1	1681	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu435-Hyp1	mandatory	122	3.2e-48	160.800	0.983	0.959	1	117		
GCA_014168615.1	protein_ordered	BBQ25467.1	Clu29-Hyp2	1683	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu29-Hyp2	mandatory	201	2.7e-49	165.200	0.772	0.657	66	197		
GCA_014168615.1	protein_ordered	BBQ25468.1	Clu3-DUF2787	1684	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu3-DUF2787	mandatory	139	1.7e-51	172.000	0.929	0.942	8	138		
GCA_014168615.1	protein_ordered	BBQ25471.1	Clu1-GpiPolB	1687	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu1-GpiPolB	mandatory	947	0.0	1243.000	0.946	0.882	93	927		
GCA_014168615.1	protein_ordered	BBQ25474.1	Clu11-IntP2	1690	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu11-IntP2	mandatory	387	3.1e-159	528.000	0.997	0.966	1	374		
GCA_014168615.1	protein_ordered	BBQ27323.1	Clu763-HypAer	3539	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	182	6e-16	56.900	0.713	0.670	9	130		
GCA_014168615.1	protein_ordered	BBQ27325.1	Clu29-Hyp2	3541	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	206	1.1e-34	117.700	0.796	0.641	10	141		
GCA_014168615.1	protein_ordered	BBQ27326.1	Clu3-DUF2787	3542	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	144	7.4e-48	160.100	0.979	0.958	6	143		
GCA_014168615.1	protein_ordered	BBQ27327.1	Clu32-IntSXT	3543	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	413	6.4e-138	458.000	0.983	0.937	6	392		
GCA_014168615.1	protein_ordered	BBQ27332.1	Clu32-IntSXT	3548	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	383	5.1e-42	142.200	0.843	0.851	47	372		
GCA_014168615.1	protein_ordered	BBQ27665.1	Clu1-GpiPolB	3881	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.625	5.000	1	Clu1-GpiPolB	mandatory	872	0.0	1185.500	0.934	0.951	39	867		
GCA_014168615.1	protein_ordered	BBQ27670.1	Clu2-IntSXT	3886	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.625	5.000	1	Clu2-IntSXT	mandatory	408	2.2e-149	495.800	0.992	0.936	6	387		
GCA_014168615.1	protein_ordered	BBQ27671.1	Clu3-DUF2787	3887	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	148	1.7e-50	168.700	0.993	0.993	1	147		
GCA_014168615.1	protein_ordered	BBQ27672.1	Clu29-Hyp2	3888	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	162	8.9e-47	157.000	0.946	0.951	1	154		
GCA_014168615.1	protein_ordered	BBQ27673.1	Clu763-HypAer	3889	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_3	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	174	2.8e-115	380.300	1.000	1.000	1	174		
GCA_019455365.1	protein_ordered	QYK82840.1	Clu3-DUF2787	1414	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	139	1.4e-51	171.900	0.929	0.942	8	138		
GCA_019455365.1	protein_ordered	QYK82841.1	Clu29-Hyp2	1415	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	133	1.9e-48	162.200	0.713	0.917	2	123		
GCA_019455365.1	protein_ordered	QYK82843.1	Clu435-Hyp1	1417	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu435-Hyp1	mandatory	118	1.4e-44	148.800	0.950	0.958	1	113		
GCA_019455365.1	protein_ordered	QYK82844.1	Clu2-IntSXT	1418	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	401	1e-185	615.200	1.000	0.995	1	399		
GCA_019455365.1	protein_ordered	QYK81504.1	Clu32-IntSXT	3703	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	383	1.6e-42	143.600	0.843	0.851	47	372		
GCA_019455365.1	protein_ordered	QYK81509.1	Clu32-IntSXT	3708	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	413	2.5e-138	459.100	0.983	0.937	6	392		
GCA_019455365.1	protein_ordered	QYK81511.1	Clu3-DUF2787	3710	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	125	6.3e-38	127.700	0.829	0.936	6	122		
GCA_019455365.1	protein_ordered	QYK81512.1	Clu29-Hyp2	3711	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	208	1.1e-34	117.400	0.790	0.630	10	140		
GCA_019455365.1	protein_ordered	QYK81514.1	Clu763-HypAer	3713	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	182	5.2e-16	56.800	0.707	0.665	9	129		
GCA_024347695.1	protein_ordered	BDN88824.1	Clu11-IntP2	2639	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu11-IntP2	mandatory	380	3e-164	544.400	0.997	0.984	1	374		
GCA_024347695.1	protein_ordered	BDN88834.1	Clu1-GpiPolB	2649	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu1-GpiPolB	mandatory	947	0.0	1229.800	0.957	0.907	69	927		
GCA_024347695.1	protein_ordered	BDN88837.1	Clu3-DUF2787	2652	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu3-DUF2787	mandatory	139	2.9e-52	174.300	0.929	0.942	8	138		
GCA_024347695.1	protein_ordered	BDN88838.1	Clu29-Hyp2	2653	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu29-Hyp2	mandatory	201	3e-49	164.900	0.749	0.637	66	193		
GCA_024347695.1	protein_ordered	BDN88840.1	Clu435-Hyp1	2655	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu435-Hyp1	mandatory	118	1.4e-45	152.200	0.950	0.958	1	113		
GCA_024347695.1	protein_ordered	BDN88841.1	Clu2-IntSXT	2656	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.750	6.000	1	Clu2-IntSXT	mandatory	401	1.1e-184	611.900	1.000	0.995	1	399		
GCA_002735225.1	protein_ordered	ATP10247.1	Clu3-DUF2787	2980	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	139	1e-50	169.300	0.929	0.942	8	138		
GCA_002735225.1	protein_ordered	ATP10248.1	Clu29-Hyp2	2981	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	201	8.7e-49	163.400	0.749	0.637	66	193		
GCA_002735225.1	protein_ordered	ATP10250.1	Clu435-Hyp1	2983	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu435-Hyp1	mandatory	122	3.2e-48	160.700	0.992	0.967	1	118		
GCA_002735225.1	protein_ordered	ATP10251.1	Clu2-IntSXT	2984	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	401	9.2e-186	615.500	1.000	0.995	1	399		
GCA_002735225.1	protein_ordered	ATP10920.1	Clu763-HypAer	3653	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	182	7.3e-16	56.500	0.713	0.670	9	130		
GCA_002735225.1	protein_ordered	ATP10922.1	Clu29-Hyp2	3655	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	206	2.6e-34	116.300	0.778	0.626	10	138		
GCA_002735225.1	protein_ordered	ATP10923.1	Clu3-DUF2787	3656	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	144	1.6e-47	158.900	0.979	0.958	6	143		
GCA_002735225.1	protein_ordered	ATP10925.1	Clu32-IntSXT	3658	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu32-IntSXT	mandatory	413	1.4e-137	456.800	0.983	0.937	6	392		
GCA_002735225.1	protein_ordered	ATP10928.1	Clu11-IntP2	3661	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_2	1	1	0.625	5.000	1	Clu11-IntP2	mandatory	390	7.7e-43	144.800	0.938	0.908	28	381		
GCA_026016025.1	protein_ordered	UZE61382.1	Clu1-GpiPolB	1759	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu1-GpiPolB	mandatory	595	1.3e-250	831.800	0.626	0.936	35	591		
GCA_026016025.1	protein_ordered	UZE61387.1	Clu32-IntSXT	1764	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu32-IntSXT	mandatory	408	5e-148	491.200	0.983	0.946	6	391		
GCA_026016025.1	protein_ordered	UZE61388.1	Clu3-DUF2787	1765	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu3-DUF2787	mandatory	148	3e-52	174.300	0.993	0.993	1	147		
GCA_026016025.1	protein_ordered	UZE61389.1	Clu29-Hyp2	1766	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu29-Hyp2	mandatory	165	6.9e-48	160.500	0.994	0.994	1	164		
GCA_026016025.1	protein_ordered	UZE61390.1	Clu763-HypAer	1767	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.625	5.000	1	Clu763-HypAer	mandatory	174	1.4e-112	371.500	1.000	1.000	1	174		
GCA_024218755.1	protein_ordered	UTI01221.1	Clu3-DUF2787	2496	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	139	1.2e-50	169.100	0.929	0.942	8	138		
GCA_024218755.1	protein_ordered	UTI01222.1	Clu29-Hyp2	2497	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	211	1.8e-48	162.300	0.760	0.616	76	205		
GCA_024218755.1	protein_ordered	UTI01224.1	Clu435-Hyp1	2499	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu435-Hyp1	mandatory	118	1.8e-45	151.800	0.958	0.966	1	114		
GCA_024218755.1	protein_ordered	UTI01225.1	Clu2-IntSXT	2500	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	401	5e-186	616.400	1.000	0.995	1	399		
GCA_027947675.1	protein_ordered	WCB55625.1	Clu2-IntSXT	1050	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu2-IntSXT	mandatory	408	3.6e-151	501.600	0.992	0.936	6	387		
GCA_027947675.1	protein_ordered	WCB55626.1	Clu3-DUF2787	1051	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	148	4.1e-52	173.800	0.993	0.993	1	147		
GCA_027947675.1	protein_ordered	WCB55627.1	Clu29-Hyp2	1052	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	164	3e-48	161.700	0.970	0.976	1	160		
GCA_027947675.1	protein_ordered	WCB55628.1	Clu763-HypAer	1053	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	174	1.7e-114	377.600	1.000	1.000	1	174		
GCA_028358575.1	protein_ordered	WCH52453.1	Clu763-HypAer	388	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu763-HypAer	mandatory	174	1.6e-114	377.600	1.000	1.000	1	174		
GCA_028358575.1	protein_ordered	WCH52454.1	Clu29-Hyp2	389	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu29-Hyp2	mandatory	164	2.8e-48	161.700	0.970	0.976	1	160		
GCA_028358575.1	protein_ordered	WCH52455.1	Clu3-DUF2787	390	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu3-DUF2787	mandatory	148	3.8e-52	173.800	0.993	0.993	1	147		
GCA_028358575.1	protein_ordered	WCH52457.1	Clu32-IntSXT	392	model_pipolin_aer/pipolin_aer	protein_ordered_pipolin_aer_1	1	1	0.500	4.000	1	Clu32-IntSXT	mandatory	300	1.3e-99	331.700	0.713	0.937	2	282		
